[14:02:23] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[14:02:25] [ServerMain/INFO]: Loaded 1370 recipes
[14:02:25] [ServerMain/INFO]: Loaded 1481 advancements
[14:02:25] [Server thread/INFO]: Starting minecraft server version 1.21.4
[14:02:25] [Server thread/INFO]: Loading properties
[14:02:25] [Server thread/INFO]: Default game type: SURVIVAL
[14:02:25] [Server thread/INFO]: Generating keypair
[14:02:25] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:02:25] [Server thread/INFO]: Using default channel type
[14:02:25] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:02:25] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:02:25] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:02:25] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:02:25] [Server thread/INFO]: Preparing level "world"
[14:02:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Server thread/INFO]: Time elapsed: 1248 ms
[14:02:26] [Server thread/INFO]: Done (1.501s)! For help, type "help"
[14:02:34] [Server thread/INFO]: dipu[/127.105.13.186:53544] logged in with entity id 78 at (140.5, 143.0, 20.5)
[14:02:34] [Server thread/INFO]: dipu joined the game
[14:02:47] [Server thread/INFO]: [dipu: Teleported dipu to -969.500000, 196.000000, 690.500000]
[14:02:49] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:02:51] [Server thread/INFO]: [dipu: Teleported dipu to -969.500000, 196.000000, 690.500000]
[14:03:01] [Server thread/INFO]: [dipu: Gave 1 [Block of Iron] to dipu]
[14:03:13] [Server thread/INFO]: [dipu: Gave 1 [Pale Oak Planks] to dipu]
[14:04:19] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:25] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:31] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:33] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:43] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:56] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:05:03] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:05:09] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:11:54] [Server thread/INFO]: [dipu: Gave 1 [Command Block] to dipu]
[14:12:47] [Server thread/INFO]: [dipu: Gamerule doFireTick is now set to: false]
[14:12:55] [Server thread/INFO]: [dipu: Gave 1 [Flint and Steel] to dipu]
[14:13:51] [Server thread/INFO]: [dipu: Set the time to 1000]
[14:19:09] [Server thread/INFO]: [Not Secure] <dipu> -965 200 684
[14:23:01] [Server thread/INFO]: [dipu: Set the time to 1000]
[14:23:39] [Server thread/INFO]: MSGxHOAXEN[/127.26.245.251:53714] logged in with entity id 22993 at (-993.1735081743275, 208.62679538902802, 655.1272469250414)
[14:23:39] [Server thread/INFO]: MSGxHOAXEN joined the game
[14:25:47] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:28:18] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:31:06] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:32:22] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:32:46] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:33:08] [Server thread/INFO]: [dipu: Teleported MSGxHOAXEN to dipu]
[14:34:15] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:34:34] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:34:38] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:35:42] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[14:36:31] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:36:50] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:38:23] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:28] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:34] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:38] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:48] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:39:04] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:40:04] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:41:33] [Server thread/INFO]: [MSGxHOAXEN: Set the weather to rain & thunder]
[14:41:49] [Server thread/INFO]: [dipu: Summoned new Skeleton]
[14:41:54] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[14:42:01] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:42:07] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:08] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:09] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:10] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:10] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:11] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:12] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:12] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:13] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:14] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:14] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:15] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:16] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:17] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:17] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:18] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:19] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:19] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:20] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:21] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:21] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:22] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:23] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:24] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:24] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:25] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:26] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:26] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:27] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:27] [Server thread/INFO]: [MSGxHOAXEN: Set the time to 13000]
[14:42:28] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:28] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:29] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:30] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:31] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:31] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:32] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:33] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:33] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:34] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:35] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:35] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:36] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:37] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:38] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:38] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:39] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:40] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:40] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:41] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:42] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:42] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:43] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:42:44] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
